43.60 2.59
54.97 43.53
42.04 33.03
20.46 61.93
29.97 26.68
62.11 52.91
13.46 51.36
18.44 78.53
85.40 49.42
84.66 7.96
50.52 6.53
42.81 9.65
12.72 59.67
22.60 10.69
22.03 34.98
46.78 20.17
64.04 48.31
50.52 38.69
79.36 58.00
16.23 70.08
96.46 50.00
88.95 34.16
56.71 42.75
43.67 77.66
53.56 95.37
54.42 8.21
36.63 85.09
40.63 2.72
24.72 6.71
99.39 97.06
80.03 60.18
76.50 16.92
29.30 52.41
35.66 4.57
98.32 44.14
50.40 32.35
25.97 38.69
83.20 73.67
37.92 1.30
79.74 26.94
58.27 2.56
66.22 38.75
49.71 41.49
35.09 55.10
97.29 11.28
31.33 4.18
73.84 65.75
21.46 41.68
64.38 66.15
17.05 88.17
